BBL,Address,AllApps,grantedfullpart,grantedfull,Denied,CONH,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
1009720001,520 E 20TH ST,165,162,10,0,0,0,0,0,0,8,0,18,28,17,91,0,0,0,0,0
1009780001,541 E 20TH ST,67,63,0,0,0,21,0,0,0,0,0,0,0,0,42,0,0,0,0,0
2039447501,1705 TO 1735 PURDY ST,56,52,52,0,0,0,0,0,0,0,11,41,0,0,0,0,0,0,0,0
1017600001,2156 TO 2170 MADISON AVE,30,15,0,12,0,0,0,0,0,0,0,0,0,1,1,12,1,0,0,0
2039437501,1530 TO 1580 METROPOLITAN AVE,29,29,29,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0
2039387501,1490 METROPOLITAN AVE,28,27,27,0,0,0,19,0,8,0,0,0,0,0,0,0,0,0,0,0
2039377501,1410 TO 1440 WOOD RD,26,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
4157800020,20-50 SEAGIRT BLVD,17,14,1,1,0,0,0,0,1,0,0,0,0,1,0,0,6,5,1,0
3044157501,1019 TO 1021 VAN SICLEN AVE,16,4,2,12,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0
4021030001,98-09 65TH RD,16,14,6,0,0,0,0,1,1,2,1,2,3,1,1,1,0,1,0,0
3044237501,400 TO 402 COZINE AVE,14,2,2,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4158150220,20-45 SEAGIRT BLVD,13,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0
1007210007,415 W 23RD ST,12,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4021020001,98-41 65TH AVE,12,11,8,0,0,0,0,1,0,5,0,4,0,0,0,1,0,0,0,0
1006240019,18 ABINGDON SQ,11,5,4,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1017370025,30 W 141ST ST,11,10,0,1,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0
3026160009,121 DOBBIN ST,11,7,5,4,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0
4001710027,44-14 47TH AVE,11,10,10,1,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,0
3003057501,423 TO 431 HICKS ST,10,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
4001890014,43-23 40TH ST,10,5,4,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
4050250050,144-67 TO 144-87 41ST AVE,10,10,6,0,0,0,1,0,0,0,0,0,0,1,2,4,1,1,0,0
4157800100,20-02 TO 20-06 SEAGIRT BLVD,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0
4158100001,20-21 TO 20-25 SEAGIRT BLVD,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,6,0
1001930028,39 WALKER ST,9,6,3,3,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0
1007190057,422 W 22ND ST,9,6,6,3,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0
1018960043,425 RIVERSIDE DR,9,8,7,0,0,0,1,0,0,1,1,0,1,1,0,0,2,1,0,0
1020890033,3495 TO 3497 BROADWAY,9,6,5,1,yes,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0
2036230001,880 TO 882 COLGATE AVE,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
4014510012,34-32 91ST ST,9,8,8,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0
4014900053,40-19 79TH ST,9,7,3,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1011990016,45 W 85TH ST,8,4,1,3,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
1014900001,1482 YORK AVE,8,8,5,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
1017600101,2171 TO 2181 MADISON AVE,8,5,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
2032300016,1981 TO 1995 SEDGWICK AVE,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0
3065720013,1805 TO 1823 STUART ST,8,7,6,1,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0
4013230006,41-34 55TH ST,8,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4030850008,64-20 SAUNDERS ST,8,6,4,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1
4051450024,44-15 COLDEN ST,8,8,8,0,0,0,0,1,1,1,0,0,0,1,0,3,0,0,1,0
1004520021,326 E 11TH ST,7,6,2,1,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0
1005180010,56 TO 58 MACDOUGAL ST,7,5,4,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
1008380061,18 W 37TH ST,7,6,5,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0
1008790070,124 E 24TH ST,7,5,3,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0
1010250019,211 W 53RD ST,7,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1018520001,765 TO 775 AMSTERDAM AVE,7,6,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0
